"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
618,Fall 2013,Windward Community College,"18-19 yrs"
289,Fall 2013,Hawai`i Community College,"30-34 yrs"
548,Fall 2021,Hawai`i Community College,"18-19 yrs"
141,Fall 2021,University of Hawai`i Maui College,"45-59 yrs"
200,Fall 2021,University of Hawai`i at Hilo,"30-34 yrs"
498,Fall 2021,Kapi`olani Community College,"35-44 yrs"
403,Fall 2021,University of Hawai`i at Hilo,"25-29 yrs"
211,Fall 2021,Windward Community College,"35-44 yrs"
268,Fall 2021,University of Hawai`i - West O`ahu,"30-34 yrs"
180,Fall 2021,University of Hawai`i - West O`ahu,"45-59 yrs"
393,Fall 2022,University of Hawai`i - West O`ahu,"25-29 yrs"
192,Fall 2022,Kapi`olani Community College,"45-59 yrs"
1486,Fall 2022,Leeward Community College,"18-19 yrs"
36,Fall 2013,University of Hawai`i at Hilo,"60+ yrs"
317,Fall 2014,Hawai`i Community College,<18 yrs
118,Fall 2014,University of Hawai`i at Hilo,<18 yrs
717,Fall 2014,University of Hawai`i at Manoa,"45-59 yrs"
865,Fall 2014,Honolulu Community College,"18-19 yrs"
351,Fall 2014,Windward Community College,"25-29 yrs"
474,Fall 2014,University of Hawai`i Maui College,"22-24 yrs"
215,Fall 2014,Kaua`i Community College,"20-21 yrs"
92,Fall 2014,University of Hawai`i at Manoa,"60+ yrs"
858,Fall 2015,Leeward Community College,"25-29 yrs"
437,Fall 2015,University of Hawai`i - West O`ahu,"25-29 yrs"
106,Fall 2016,University of Hawai`i at Manoa,"60+ yrs"
681,Fall 2016,Leeward Community College,<18 yrs
416,Fall 2016,Windward Community College,"22-24 yrs"
321,Fall 2016,Leeward Community College,"45-59 yrs"
282,Fall 2016,University of Hawai`i - West O`ahu,"30-34 yrs"
192,Fall 2016,Kaua`i Community College,"20-21 yrs"
294,Fall 2016,Kaua`i Community College,<18 yrs
81,Fall 2016,University of Hawai`i Maui College,"60+ yrs"
147,Fall 2016,Kaua`i Community College,"22-24 yrs"
176,Fall 2016,Windward Community College,"30-34 yrs"
1205,Fall 2017,University of Hawai`i at Manoa,"35-44 yrs"
592,Fall 2017,Honolulu Community College,"22-24 yrs"
3880,Fall 2017,University of Hawai`i at Manoa,"20-21 yrs"
262,Fall 2017,Kapi`olani Community College,"45-59 yrs"
470,Fall 2017,University of Hawai`i - West O`ahu,"20-21 yrs"
459,Fall 2017,Leeward Community College,"35-44 yrs"
1588,Fall 2017,Leeward Community College,"18-19 yrs"
709,Fall 2017,University of Hawai`i at Hilo,"18-19 yrs"
1534,Fall 2018,Leeward Community College,"18-19 yrs"
432,Fall 2018,University of Hawai`i - West O`ahu,"18-19 yrs"
476,Fall 2018,Kapi`olani Community College,<18 yrs
22,Fall 2022,Honolulu Community College,"60+ yrs"
364,Fall 2019,Honolulu Community College,"30-34 yrs"
79,Fall 2019,Kaua`i Community College,"30-34 yrs"
241,Fall 2019,Kapi`olani Community College,"45-59 yrs"
28,Fall 2019,University of Hawai`i - West O`ahu,"60+ yrs"
27,Fall 2019,University of Hawai`i at Hilo,"60+ yrs"
337,Fall 2020,Windward Community College,"20-21 yrs"
220,Fall 2020,University of Hawai`i Maui College,"30-34 yrs"
56,Fall 2020,University of Hawai`i Maui College,"60+ yrs"
1,Fall 2021,Kapi`olani Community College,No Data
154,Fall 2024,University of Hawai`i at Hilo,"30-34 yrs"
1156,Fall 2024,Leeward Community College,"20-21 yrs"
375,Fall 2024,Windward Community College,"20-21 yrs"
589,Fall 2024,Honolulu Community College,"20-21 yrs"
160,Fall 2024,University of Hawai`i at Hilo,"35-44 yrs"
239,Fall 2023,Windward Community College,"35-44 yrs"
38,Fall 2023,Kapi`olani Community College,"60+ yrs"
2283,Fall 2023,University of Hawai`i at Manoa,"25-29 yrs"
223,Fall 2023,Windward Community College,"22-24 yrs"
756,Fall 2023,Honolulu Community College,"18-19 yrs"
401,Fall 2023,University of Hawai`i - West O`ahu,"18-19 yrs"
663,Fall 2023,University of Hawai`i Maui College,<18 yrs
1,Fall 2017,Kapi`olani Community College,No Data
9,Fall 2018,University of Hawai`i - West O`ahu,No Data
561,Fall 2010,Leeward Community College,"35-44 yrs"
201,Fall 2010,Windward Community College,"35-44 yrs"
193,Fall 2010,University of Hawai`i - West O`ahu,"30-34 yrs"
176,Fall 2010,Windward Community College,"30-34 yrs"
45,Fall 2010,Hawai`i Community College,"60+ yrs"
131,Fall 2010,University of Hawai`i - West O`ahu,"20-21 yrs"
904,Fall 2011,University of Hawai`i at Hilo,"22-24 yrs"
158,Fall 2011,Kaua`i Community College,"25-29 yrs"
212,Fall 2011,Windward Community College,"35-44 yrs"
548,Fall 2011,Hawai`i Community College,"22-24 yrs"
1651,Fall 2012,Leeward Community College,"20-21 yrs"
1675,Fall 2012,Kapi`olani Community College,"22-24 yrs"
499,Fall 2012,Leeward Community College,"35-44 yrs"
383,Fall 2012,Windward Community College,"25-29 yrs"
1628,Fall 2013,University of Hawai`i at Manoa,"30-34 yrs"
695,Fall 2013,University of Hawai`i at Manoa,"45-59 yrs"
394,Fall 2013,University of Hawai`i Maui College,"30-34 yrs"
584,Fall 2013,Leeward Community College,"30-34 yrs"
133,Fall 2013,University of Hawai`i at Hilo,<18 yrs
895,Fall 2013,University of Hawai`i at Hilo,"22-24 yrs"
24,Fall 2021,Honolulu Community College,"60+ yrs"
735,Fall 2021,Honolulu Community College,"18-19 yrs"
297,Fall 2022,Hawai`i Community College,"20-21 yrs"
4239,Fall 2022,University of Hawai`i at Manoa,"20-21 yrs"
722,Fall 2022,University of Hawai`i at Hilo,"18-19 yrs"
1242,Fall 2022,University of Hawai`i at Manoa,"35-44 yrs"
224,Fall 2022,Windward Community College,"35-44 yrs"
391,Fall 2014,University of Hawai`i at Manoa,<18 yrs
556,Fall 2014,University of Hawai`i Maui College,"20-21 yrs"
110,Fall 2014,University of Hawai`i Maui College,"60+ yrs"
305,Fall 2014,Hawai`i Community College,"35-44 yrs"
33,Fall 2014,University of Hawai`i at Hilo,"60+ yrs"
30,Fall 2013,Honolulu Community College,"60+ yrs"
1,Fall 2011,University of Hawai`i at Manoa,No Data
414,Fall 2015,Windward Community College,"22-24 yrs"
426,Fall 2015,Honolulu Community College,"30-34 yrs"
3048,Fall 2015,University of Hawai`i at Manoa,"25-29 yrs"
66,Fall 2015,Hawai`i Community College,"60+ yrs"
1145,Fall 2015,Leeward Community College,"22-24 yrs"
4253,Fall 2015,University of Hawai`i at Manoa,"20-21 yrs"
730,Fall 2015,Honolulu Community College,"20-21 yrs"
309,Fall 2015,Honolulu Community College,<18 yrs
412,Fall 2015,University of Hawai`i - West O`ahu,"18-19 yrs"
264,Fall 2016,University of Hawai`i at Hilo,"30-34 yrs"
742,Fall 2016,University of Hawai`i Maui College,"18-19 yrs"
1256,Fall 2016,University of Hawai`i at Manoa,"35-44 yrs"
431,Fall 2016,Hawai`i Community College,<18 yrs
456,Fall 2016,Windward Community College,"20-21 yrs"
279,Fall 2016,Honolulu Community College,<18 yrs
2,Fall 2016,University of Hawai`i at Manoa,No Data
374,Fall 2017,University of Hawai`i Maui College,"22-24 yrs"
408,Fall 2017,Hawai`i Community College,"20-21 yrs"
293,Fall 2017,University of Hawai`i Maui College,"35-44 yrs"
243,Fall 2018,University of Hawai`i - West O`ahu,"30-34 yrs"
471,Fall 2018,University of Hawai`i - West O`ahu,"25-29 yrs"
1252,Fall 2018,Kapi`olani Community College,"22-24 yrs"
134,Fall 2018,Kaua`i Community College,"22-24 yrs"
478,Fall 2018,Kaua`i Community College,<18 yrs
102,Fall 2018,University of Hawai`i at Manoa,"60+ yrs"
38,Fall 2018,Hawai`i Community College,"60+ yrs"
72,Fall 2022,Windward Community College,"60+ yrs"
1298,Fall 2019,University of Hawai`i at Manoa,"30-34 yrs"
527,Fall 2019,University of Hawai`i Maui College,<18 yrs
130,Fall 2020,Hawai`i Community College,"45-59 yrs"
534,Fall 2020,Honolulu Community College,"25-29 yrs"
1275,Fall 2020,University of Hawai`i at Manoa,"30-34 yrs"
275,Fall 2020,Windward Community College,"25-29 yrs"
27,Fall 2020,University of Hawai`i at Hilo,"60+ yrs"
94,Fall 2020,Kaua`i Community College,"35-44 yrs"
3,Fall 2021,University of Hawai`i - West O`ahu,No Data
26,Fall 2024,Hawai`i Community College,"60+ yrs"
123,Fall 2024,Honolulu Community College,"45-59 yrs"
299,Fall 2024,Hawai`i Community College,"20-21 yrs"
565,Fall 2024,Hawai`i Community College,"18-19 yrs"
191,Fall 2023,Windward Community College,"30-34 yrs"
12,Fall 2019,University of Hawai`i at Hilo,No Data
2,Fall 2023,Windward Community College,No Data
3,Fall 2022,Kaua`i Community College,No Data
1,Fall 2021,University of Hawai`i at Hilo,No Data
3,Fall 2024,Windward Community College,No Data
1,Fall 2024,Kapi`olani Community College,No Data
360,Fall 2010,Windward Community College,"25-29 yrs"
321,Fall 2010,Hawai`i Community College,"30-34 yrs"
214,Fall 2010,University of Hawai`i at Hilo,"35-44 yrs"
312,Fall 2010,Leeward Community College,"45-59 yrs"
