"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
208,Fall 2021,University of Hawai`i at Hilo,"35-44 yrs"
267,Fall 2021,Kapi`olani Community College,"45-59 yrs"
52,Fall 2021,University of Hawai`i Maui College,"60+ yrs"
1058,Fall 2022,Leeward Community College,"20-21 yrs"
1123,Fall 2022,Kapi`olani Community College,"20-21 yrs"
493,Fall 2022,Honolulu Community College,"20-21 yrs"
173,Fall 2022,University of Hawai`i at Hilo,"30-34 yrs"
230,Fall 2022,University of Hawai`i Maui College,"22-24 yrs"
498,Fall 2014,Kapi`olani Community College,"35-44 yrs"
1727,Fall 2014,Kapi`olani Community College,"20-21 yrs"
515,Fall 2014,Leeward Community College,"35-44 yrs"
35,Fall 2014,Honolulu Community College,"60+ yrs"
445,Fall 2015,University of Hawai`i Maui College,"25-29 yrs"
305,Fall 2015,University of Hawai`i Maui College,"35-44 yrs"
350,Fall 2015,Hawai`i Community College,"25-29 yrs"
567,Fall 2015,Windward Community College,"18-19 yrs"
1695,Fall 2015,Kapi`olani Community College,"20-21 yrs"
674,Fall 2015,Hawai`i Community College,"18-19 yrs"
587,Fall 2015,Leeward Community College,<18 yrs
39,Fall 2015,Kapi`olani Community College,"60+ yrs"
76,Fall 2015,Kaua`i Community College,"45-59 yrs"
1422,Fall 2016,University of Hawai`i at Manoa,"30-34 yrs"
506,Fall 2016,Leeward Community College,"30-34 yrs"
1141,Fall 2016,Kapi`olani Community College,"25-29 yrs"
515,Fall 2016,University of Hawai`i Maui College,"20-21 yrs"
153,Fall 2016,Windward Community College,"45-59 yrs"
146,Fall 2016,Kaua`i Community College,"25-29 yrs"
1,Fall 2016,Hawai`i Community College,No Data
237,Fall 2017,Hawai`i Community College,"35-44 yrs"
327,Fall 2017,Honolulu Community College,"30-34 yrs"
72,Fall 2017,Kaua`i Community College,"30-34 yrs"
152,Fall 2017,University of Hawai`i at Hilo,"45-59 yrs"
167,Fall 2017,Honolulu Community College,"45-59 yrs"
125,Fall 2017,Kaua`i Community College,"22-24 yrs"
486,Fall 2017,University of Hawai`i - West O`ahu,"18-19 yrs"
2671,Fall 2018,University of Hawai`i at Manoa,"25-29 yrs"
815,Fall 2018,Leeward Community College,"25-29 yrs"
340,Fall 2018,University of Hawai`i Maui College,"25-29 yrs"
593,Fall 2018,Honolulu Community College,"25-29 yrs"
336,Fall 2018,Honolulu Community College,"35-44 yrs"
705,Fall 2018,University of Hawai`i at Hilo,"18-19 yrs"
17,Fall 2022,University of Hawai`i - West O`ahu,"60+ yrs"
63,Fall 2022,Kaua`i Community College,"30-34 yrs"
335,Fall 2019,Leeward Community College,"45-59 yrs"
469,Fall 2019,Leeward Community College,"30-34 yrs"
312,Fall 2019,University of Hawai`i Maui College,"25-29 yrs"
493,Fall 2019,Hawai`i Community College,<18 yrs
328,Fall 2019,Kapi`olani Community College,<18 yrs
209,Fall 2020,University of Hawai`i - West O`ahu,"45-59 yrs"
66,Fall 2020,Kaua`i Community College,"45-59 yrs"
497,Fall 2020,Leeward Community College,"30-34 yrs"
494,Fall 2020,University of Hawai`i - West O`ahu,"25-29 yrs"
222,Fall 2020,Hawai`i Community College,"22-24 yrs"
403,Fall 2020,University of Hawai`i Maui College,"20-21 yrs"
581,Fall 2020,Hawai`i Community College,"18-19 yrs"
45,Fall 2020,Kapi`olani Community College,"60+ yrs"
1521,Fall 2020,Leeward Community College,"18-19 yrs"
227,Fall 2020,Hawai`i Community College,"30-34 yrs"
451,Fall 2024,Leeward Community College,"35-44 yrs"
282,Fall 2024,University of Hawai`i - West O`ahu,"35-44 yrs"
68,Fall 2024,Kaua`i Community College,"35-44 yrs"
155,Fall 2024,University of Hawai`i Maui College,"30-34 yrs"
58,Fall 2024,Kaua`i Community College,"30-34 yrs"
165,Fall 2024,Hawai`i Community College,"30-34 yrs"
273,Fall 2024,Windward Community College,"22-24 yrs"
476,Fall 2024,Honolulu Community College,"22-24 yrs"
170,Fall 2024,Kaua`i Community College,"20-21 yrs"
459,Fall 2024,Kaua`i Community College,<18 yrs
455,Fall 2023,Leeward Community College,"35-44 yrs"
178,Fall 2023,University of Hawai`i - West O`ahu,"45-59 yrs"
1,Fall 2016,Honolulu Community College,No Data
2,Fall 2016,University of Hawai`i - West O`ahu,No Data
1,Fall 2016,Kapi`olani Community College,No Data
226,Fall 2023,Hawai`i Community College,"35-44 yrs"
446,Fall 2023,Leeward Community College,"30-34 yrs"
173,Fall 2023,University of Hawai`i Maui College,"30-34 yrs"
229,Fall 2023,University of Hawai`i Maui College,"25-29 yrs"
215,Fall 2023,Hawai`i Community College,"22-24 yrs"
105,Fall 2023,Kaua`i Community College,"22-24 yrs"
1136,Fall 2023,Kapi`olani Community College,"20-21 yrs"
315,Fall 2023,Kaua`i Community College,"18-19 yrs"
168,Fall 2023,University of Hawai`i at Hilo,<18 yrs
9,Fall 2019,Windward Community College,No Data
716,Fall 2010,Kapi`olani Community College,"30-34 yrs"
1662,Fall 2010,University of Hawai`i at Manoa,"30-34 yrs"
1779,Fall 2010,Kapi`olani Community College,"22-24 yrs"
939,Fall 2010,University of Hawai`i at Hilo,"22-24 yrs"
496,Fall 2010,Hawai`i Community College,"22-24 yrs"
1935,Fall 2010,Kapi`olani Community College,"20-21 yrs"
115,Fall 2011,Kaua`i Community College,"30-34 yrs"
326,Fall 2011,University of Hawai`i - West O`ahu,"22-24 yrs"
43,Fall 2011,Kaua`i Community College,"60+ yrs"
410,Fall 2011,University of Hawai`i Maui College,"45-59 yrs"
3698,Fall 2011,University of Hawai`i at Manoa,"18-19 yrs"
1030,Fall 2011,Honolulu Community College,"18-19 yrs"
620,Fall 2012,Windward Community College,"18-19 yrs"
861,Fall 2012,Hawai`i Community College,"18-19 yrs"
354,Fall 2012,Leeward Community College,"45-59 yrs"
490,Fall 2012,Hawai`i Community College,"25-29 yrs"
79,Fall 2012,University of Hawai`i Maui College,"60+ yrs"
111,Fall 2012,Kaua`i Community College,"45-59 yrs"
325,Fall 2021,University of Hawai`i - West O`ahu,<18 yrs
322,Fall 2021,Hawai`i Community College,"20-21 yrs"
639,Fall 2022,Leeward Community College,"25-29 yrs"
104,Fall 2022,University of Hawai`i at Hilo,"45-59 yrs"
74,Fall 2022,Kaua`i Community College,"35-44 yrs"
452,Fall 2013,Hawai`i Community College,"25-29 yrs"
1984,Fall 2014,Leeward Community College,"18-19 yrs"
577,Fall 2014,Kapi`olani Community College,"30-34 yrs"
448,Fall 2014,University of Hawai`i - West O`ahu,"18-19 yrs"
844,Fall 2014,University of Hawai`i at Hilo,"22-24 yrs"
370,Fall 2014,University of Hawai`i Maui College,"30-34 yrs"
788,Fall 2015,University of Hawai`i at Hilo,"22-24 yrs"
250,Fall 2015,University of Hawai`i - West O`ahu,"30-34 yrs"
58,Fall 2015,Leeward Community College,"60+ yrs"
862,Fall 2015,University of Hawai`i at Hilo,"20-21 yrs"
1792,Fall 2015,Kapi`olani Community College,"18-19 yrs"
1964,Fall 2015,Leeward Community College,"18-19 yrs"
524,Fall 2015,University of Hawai`i Maui College,"20-21 yrs"
356,Fall 2015,Hawai`i Community College,"22-24 yrs"
195,Fall 2015,Kaua`i Community College,<18 yrs
763,Fall 2016,University of Hawai`i at Hilo,"22-24 yrs"
54,Fall 2016,Leeward Community College,"60+ yrs"
244,Fall 2017,University of Hawai`i at Hilo,"30-34 yrs"
270,Fall 2017,University of Hawai`i Maui College,"30-34 yrs"
556,Fall 2017,Honolulu Community College,"25-29 yrs"
490,Fall 2017,University of Hawai`i Maui College,"20-21 yrs"
352,Fall 2017,Kaua`i Community College,"18-19 yrs"
432,Fall 2017,University of Hawai`i at Manoa,<18 yrs
136,Fall 2018,Hawai`i Community College,"45-59 yrs"
352,Fall 2018,Hawai`i Community College,"20-21 yrs"
1558,Fall 2018,Kapi`olani Community College,"18-19 yrs"
325,Fall 2019,Honolulu Community College,"35-44 yrs"
65,Fall 2019,Kaua`i Community College,"45-59 yrs"
54,Fall 2019,Leeward Community College,"60+ yrs"
907,Fall 2019,Leeward Community College,"22-24 yrs"
517,Fall 2019,University of Hawai`i - West O`ahu,"20-21 yrs"
1463,Fall 2019,Kapi`olani Community College,"18-19 yrs"
501,Fall 2019,Windward Community College,"18-19 yrs"
643,Fall 2019,Hawai`i Community College,"18-19 yrs"
535,Fall 2020,University of Hawai`i at Hilo,"22-24 yrs"
479,Fall 2020,Honolulu Community College,"20-21 yrs"
322,Fall 2020,University of Hawai`i - West O`ahu,<18 yrs
183,Fall 2020,Windward Community College,"35-44 yrs"
120,Fall 2020,University of Hawai`i at Manoa,"60+ yrs"
10,Fall 2017,University of Hawai`i - West O`ahu,No Data
253,Fall 2024,Leeward Community College,"45-59 yrs"
167,Fall 2024,Windward Community College,"30-34 yrs"
501,Fall 2024,University of Hawai`i at Hilo,"22-24 yrs"
516,Fall 2024,University of Hawai`i - West O`ahu,"20-21 yrs"
221,Fall 2023,Leeward Community College,"45-59 yrs"
42,Fall 2023,Kaua`i Community College,"45-59 yrs"
439,Fall 2023,Honolulu Community College,"22-24 yrs"
1,Fall 2023,University of Hawai`i - West O`ahu,No Data
5,Fall 2023,Leeward Community College,No Data
1,Fall 2019,Hawai`i Community College,No Data
344,Fall 2010,Kapi`olani Community College,"45-59 yrs"
271,Fall 2010,Hawai`i Community College,"45-59 yrs"
50,Fall 2010,Leeward Community College,"60+ yrs"
88,Fall 2010,Kaua`i Community College,<18 yrs
283,Fall 2010,Hawai`i Community College,<18 yrs
171,Fall 2011,Windward Community College,"45-59 yrs"
4273,Fall 2011,University of Hawai`i at Manoa,"20-21 yrs"
979,Fall 2011,University of Hawai`i at Hilo,"20-21 yrs"
646,Fall 2011,University of Hawai`i Maui College,"20-21 yrs"
69,Fall 2011,University of Hawai`i Maui College,"60+ yrs"
3429,Fall 2012,University of Hawai`i at Manoa,"25-29 yrs"
920,Fall 2012,University of Hawai`i at Hilo,"22-24 yrs"
775,Fall 2012,Honolulu Community College,"22-24 yrs"
301,Fall 2012,Kapi`olani Community College,<18 yrs
252,Fall 2012,Hawai`i Community College,<18 yrs
97,Fall 2012,University of Hawai`i at Manoa,"60+ yrs"
226,Fall 2012,Windward Community College,"30-34 yrs"
41,Fall 2012,Windward Community College,"60+ yrs"
32,Fall 2012,University of Hawai`i at Hilo,"60+ yrs"
1351,Fall 2013,University of Hawai`i at Manoa,"35-44 yrs"
923,Fall 2013,Honolulu Community College,"18-19 yrs"
4329,Fall 2013,University of Hawai`i at Manoa,"20-21 yrs"
169,Fall 2013,Honolulu Community College,<18 yrs
824,Fall 2013,University of Hawai`i at Hilo,"20-21 yrs"
1086,Fall 2021,Leeward Community College,"20-21 yrs"
283,Fall 2021,University of Hawai`i - West O`ahu,"35-44 yrs"
552,Fall 2021,University of Hawai`i at Hilo,"22-24 yrs"
263,Fall 2021,University of Hawai`i Maui College,"25-29 yrs"
111,Fall 2021,Kaua`i Community College,"22-24 yrs"
306,Fall 2021,Honolulu Community College,"30-34 yrs"
66,Fall 2021,Kaua`i Community College,"30-34 yrs"
2439,Fall 2022,University of Hawai`i at Manoa,"25-29 yrs"
222,Fall 2022,Windward Community College,"25-29 yrs"
139,Fall 2022,Windward Community College,"45-59 yrs"
361,Fall 2022,University of Hawai`i - West O`ahu,"18-19 yrs"
161,Fall 2022,Hawai`i Community College,"30-34 yrs"
446,Fall 2022,Leeward Community College,"35-44 yrs"
20,Fall 2022,Leeward Community College,No Data
1,Fall 2012,Windward Community College,No Data
1600,Fall 2014,Leeward Community College,"20-21 yrs"
95,Fall 2014,Kaua`i Community College,<18 yrs
495,Fall 2014,University of Hawai`i - West O`ahu,"22-24 yrs"
594,Fall 2014,University of Hawai`i at Hilo,"25-29 yrs"
34,Fall 2014,Kapi`olani Community College,"60+ yrs"
31,Fall 2014,Kaua`i Community College,"60+ yrs"
1,Fall 2011,Windward Community College,No Data
547,Fall 2015,University of Hawai`i - West O`ahu,"22-24 yrs"
563,Fall 2015,Kapi`olani Community College,"30-34 yrs"
158,Fall 2015,University of Hawai`i at Hilo,"45-59 yrs"
627,Fall 2015,University of Hawai`i at Manoa,"45-59 yrs"
360,Fall 2015,Kapi`olani Community College,<18 yrs
123,Fall 2015,Kaua`i Community College,"35-44 yrs"
2890,Fall 2016,University of Hawai`i at Manoa,"25-29 yrs"
438,Fall 2016,Hawai`i Community College,"20-21 yrs"
251,Fall 2016,Hawai`i Community College,"35-44 yrs"
376,Fall 2016,Honolulu Community College,"30-34 yrs"
3,Fall 2016,Windward Community College,No Data
499,Fall 2017,Kapi`olani Community College,"30-34 yrs"
627,Fall 2017,University of Hawai`i at Manoa,"45-59 yrs"
38,Fall 2017,Honolulu Community College,"60+ yrs"
322,Fall 2017,Windward Community College,<18 yrs
37,Fall 2017,University of Hawai`i - West O`ahu,"60+ yrs"
235,Fall 2018,Hawai`i Community College,"35-44 yrs"
467,Fall 2018,Windward Community College,"18-19 yrs"
795,Fall 2018,Leeward Community College,<18 yrs
2,Fall 2015,Windward Community College,No Data
208,Fall 2019,University of Hawai`i Maui College,"30-34 yrs"
814,Fall 2019,Leeward Community College,"25-29 yrs"
230,Fall 2019,University of Hawai`i at Hilo,"30-34 yrs"
1290,Fall 2019,Kapi`olani Community College,"20-21 yrs"
390,Fall 2019,University of Hawai`i Maui College,"20-21 yrs"
1527,Fall 2019,Leeward Community College,"18-19 yrs"
686,Fall 2020,University of Hawai`i Maui College,"18-19 yrs"
111,Fall 2024,Hawai`i Community College,"45-59 yrs"
438,Fall 2024,Leeward Community College,"30-34 yrs"
190,Fall 2024,Hawai`i Community College,"25-29 yrs"
3242,Fall 2024,University of Hawai`i at Manoa,"22-24 yrs"
259,Fall 2024,University of Hawai`i at Hilo,"25-29 yrs"
222,Fall 2024,University of Hawai`i Maui College,"25-29 yrs"
118,Fall 2024,Kaua`i Community College,"22-24 yrs"
5252,Fall 2024,University of Hawai`i at Manoa,"20-21 yrs"
142,Fall 2023,University of Hawai`i Maui College,"45-59 yrs"
505,Fall 2023,Kapi`olani Community College,"35-44 yrs"
521,Fall 2023,University of Hawai`i at Hilo,"22-24 yrs"
4755,Fall 2023,University of Hawai`i at Manoa,"20-21 yrs"
2,Fall 2017,University of Hawai`i at Manoa,No Data
260,Fall 2010,University of Hawai`i at Hilo,"30-34 yrs"
26,Fall 2010,University of Hawai`i at Hilo,"60+ yrs"
27,Fall 2010,Kapi`olani Community College,"60+ yrs"
946,Fall 2010,Maui College,"18-19 yrs"
155,Fall 2010,University of Hawai`i - West O`ahu,"18-19 yrs"
27,Fall 2011,University of Hawai`i at Hilo,"60+ yrs"
203,Fall 2011,University of Hawai`i - West O`ahu,"35-44 yrs"
53,Fall 2011,Leeward Community College,"60+ yrs"
103,Fall 2011,Kaua`i Community College,"45-59 yrs"
753,Fall 2011,Honolulu Community College,"25-29 yrs"
274,Fall 2011,Hawai`i Community College,"45-59 yrs"
412,Fall 2011,Leeward Community College,<18 yrs
50,Fall 2011,Windward Community College,"60+ yrs"
325,Fall 2011,Kapi`olani Community College,<18 yrs
58,Fall 2011,Hawai`i Community College,"60+ yrs"
416,Fall 2012,University of Hawai`i Maui College,"45-59 yrs"
415,Fall 2012,University of Hawai`i Maui College,"30-34 yrs"
660,Fall 2012,University of Hawai`i at Hilo,"25-29 yrs"
542,Fall 2012,Leeward Community College,"30-34 yrs"
155,Fall 2012,University of Hawai`i - West O`ahu,"45-59 yrs"
775,Fall 2013,Hawai`i Community College,"18-19 yrs"
826,Fall 2013,University of Hawai`i Maui College,"18-19 yrs"
288,Fall 2013,University of Hawai`i at Hilo,"30-34 yrs"
96,Fall 2013,University of Hawai`i Maui College,"60+ yrs"
35,Fall 2013,Kapi`olani Community College,"60+ yrs"
116,Fall 2021,Windward Community College,"45-59 yrs"
791,Fall 2021,University of Hawai`i at Hilo,"20-21 yrs"
319,Fall 2021,Kapi`olani Community College,<18 yrs
174,Fall 2021,University of Hawai`i at Hilo,<18 yrs
203,Fall 2021,Hawai`i Community College,"22-24 yrs"
127,Fall 2021,University of Hawai`i at Manoa,"60+ yrs"
394,Fall 2021,Kaua`i Community College,<18 yrs
30,Fall 2021,Hawai`i Community College,"60+ yrs"
507,Fall 2022,Windward Community College,"18-19 yrs"
742,Fall 2022,Honolulu Community College,"18-19 yrs"
217,Fall 2022,Hawai`i Community College,"22-24 yrs"
62,Fall 2013,Hawai`i Community College,"60+ yrs"
879,Fall 2014,University of Hawai`i at Hilo,"20-21 yrs"
21,Fall 2013,University of Hawai`i - West O`ahu,"60+ yrs"
1,Fall 2010,Maui College,No Data
1,Fall 2014,University of Hawai`i - West O`ahu,No Data
1421,Fall 2015,Kapi`olani Community College,"22-24 yrs"
722,Fall 2015,Honolulu Community College,"25-29 yrs"
346,Fall 2015,Leeward Community College,"45-59 yrs"
421,Fall 2015,University of Hawai`i Maui College,"22-24 yrs"
4017,Fall 2016,University of Hawai`i at Manoa,"20-21 yrs"
1565,Fall 2016,Kapi`olani Community College,"18-19 yrs"
579,Fall 2016,University of Hawai`i at Manoa,"45-59 yrs"
184,Fall 2016,University of Hawai`i - West O`ahu,"45-59 yrs"
48,Fall 2016,Hawai`i Community College,"60+ yrs"
1134,Fall 2017,Kapi`olani Community College,"25-29 yrs"
475,Fall 2017,Kapi`olani Community College,"35-44 yrs"
97,Fall 2017,University of Hawai`i at Manoa,"60+ yrs"
1366,Fall 2017,Leeward Community College,"20-21 yrs"
690,Fall 2017,Hawai`i Community College,"18-19 yrs"
278,Fall 2017,Honolulu Community College,<18 yrs
33,Fall 2018,Leeward Community College,No Data
50,Fall 2022,Leeward Community College,"60+ yrs"
46,Fall 2022,University of Hawai`i Maui College,"60+ yrs"
271,Fall 2019,University of Hawai`i Maui College,"35-44 yrs"
2582,Fall 2019,University of Hawai`i at Manoa,"25-29 yrs"
492,Fall 2019,University of Hawai`i - West O`ahu,"25-29 yrs"
528,Fall 2019,Honolulu Community College,"20-21 yrs"
209,Fall 2019,University of Hawai`i at Hilo,<18 yrs
366,Fall 2020,Kapi`olani Community College,<18 yrs
1155,Fall 2024,University of Hawai`i at Manoa,"35-44 yrs"
438,Fall 2024,Honolulu Community College,"25-29 yrs"
100,Fall 2024,Kaua`i Community College,"25-29 yrs"
711,Fall 2024,University of Hawai`i at Hilo,"20-21 yrs"
377,Fall 2024,Kapi`olani Community College,<18 yrs
1,Fall 2024,University of Hawai`i at Manoa,No Data
1193,Fall 2023,University of Hawai`i at Manoa,"35-44 yrs"
114,Fall 2023,University of Hawai`i at Manoa,"60+ yrs"
256,Fall 2023,University of Hawai`i - West O`ahu,"30-34 yrs"
227,Fall 2023,Windward Community College,"25-29 yrs"
348,Fall 2023,University of Hawai`i - West O`ahu,"25-29 yrs"
928,Fall 2023,Kapi`olani Community College,"22-24 yrs"
500,Fall 2023,Hawai`i Community College,<18 yrs
1,Fall 2022,Windward Community College,No Data
660,Fall 2010,Kapi`olani Community College,"35-44 yrs"
531,Fall 2010,Hawai`i Community College,"25-29 yrs"
106,Fall 2010,Kaua`i Community College,"35-44 yrs"
801,Fall 2010,University of Hawai`i at Hilo,"18-19 yrs"
1447,Fall 2011,Kapi`olani Community College,"25-29 yrs"
1228,Fall 2011,Leeward Community College,"22-24 yrs"
263,Fall 2011,University of Hawai`i at Hilo,"30-34 yrs"
332,Fall 2011,University of Hawai`i - West O`ahu,"25-29 yrs"
1898,Fall 2011,Kapi`olani Community College,"20-21 yrs"
291,Fall 2011,Hawai`i Community College,<18 yrs
167,Fall 2011,Honolulu Community College,<18 yrs
882,Fall 2012,University of Hawai`i at Hilo,"20-21 yrs"
239,Fall 2012,Kaua`i Community College,"20-21 yrs"
731,Fall 2012,Honolulu Community College,"25-29 yrs"
441,Fall 2012,University of Hawai`i at Manoa,<18 yrs
157,Fall 2012,Honolulu Community College,<18 yrs
146,Fall 2012,Kaua`i Community College,<18 yrs
1929,Fall 2013,Kapi`olani Community College,"18-19 yrs"
740,Fall 2013,Honolulu Community College,"22-24 yrs"
291,Fall 2013,Kapi`olani Community College,"45-59 yrs"
348,Fall 2013,Honolulu Community College,"35-44 yrs"
2162,Fall 2013,Leeward Community College,"18-19 yrs"
463,Fall 2013,University of Hawai`i - West O`ahu,"22-24 yrs"
118,Fall 2013,Kaua`i Community College,"45-59 yrs"
443,Fall 2021,University of Hawai`i - West O`ahu,"25-29 yrs"
1354,Fall 2021,Kapi`olani Community College,"18-19 yrs"
580,Fall 2021,University of Hawai`i at Manoa,<18 yrs
439,Fall 2021,Honolulu Community College,"22-24 yrs"
115,Fall 2021,University of Hawai`i at Hilo,"45-59 yrs"
23,Fall 2021,University of Hawai`i - West O`ahu,"60+ yrs"
287,Fall 2022,Honolulu Community College,"30-34 yrs"
360,Fall 2022,Kapi`olani Community College,<18 yrs
293,Fall 2022,Windward Community College,"20-21 yrs"
377,Fall 2022,Kaua`i Community College,<18 yrs
49,Fall 2022,Kaua`i Community College,"45-59 yrs"
369,Fall 2014,Kaua`i Community College,"18-19 yrs"
336,Fall 2015,Windward Community College,"25-29 yrs"
247,Fall 2015,University of Hawai`i at Hilo,"35-44 yrs"
36,Fall 2015,Windward Community College,"60+ yrs"
1196,Fall 2015,Kapi`olani Community College,"25-29 yrs"
3524,Fall 2015,University of Hawai`i at Manoa,"18-19 yrs"
173,Fall 2015,Windward Community College,<18 yrs
3535,Fall 2016,University of Hawai`i at Manoa,"18-19 yrs"
1418,Fall 2016,Kapi`olani Community College,"22-24 yrs"
332,Fall 2016,University of Hawai`i Maui College,"25-29 yrs"
39,Fall 2016,University of Hawai`i at Hilo,"60+ yrs"
532,Fall 2017,University of Hawai`i at Hilo,"25-29 yrs"
727,Fall 2017,University of Hawai`i at Hilo,"22-24 yrs"
705,Fall 2017,Honolulu Community College,"18-19 yrs"
207,Fall 2018,University of Hawai`i Maui College,"45-59 yrs"
1047,Fall 2018,Kapi`olani Community College,"25-29 yrs"
186,Fall 2018,University of Hawai`i - West O`ahu,"45-59 yrs"
492,Fall 2018,Leeward Community College,"35-44 yrs"
279,Fall 2018,Hawai`i Community College,"22-24 yrs"
86,Fall 2018,University of Hawai`i Maui College,"60+ yrs"
484,Fall 2018,University of Hawai`i at Manoa,<18 yrs
707,Fall 2018,University of Hawai`i Maui College,"18-19 yrs"
624,Fall 2018,Hawai`i Community College,"18-19 yrs"
177,Fall 2018,Kaua`i Community College,"20-21 yrs"
232,Fall 2018,Kapi`olani Community College,"45-59 yrs"
8,Fall 2018,Windward Community College,No Data
2,Fall 2022,Hawai`i Community College,No Data
143,Fall 2019,Honolulu Community College,"45-59 yrs"
595,Fall 2019,University of Hawai`i at Manoa,"45-59 yrs"
599,Fall 2019,University of Hawai`i at Hilo,"22-24 yrs"
1185,Fall 2019,Kapi`olani Community College,"22-24 yrs"
3228,Fall 2013,University of Hawai`i at Manoa,"25-29 yrs"
207,Fall 2013,Windward Community College,"45-59 yrs"
466,Fall 2013,Hawai`i Community College,"22-24 yrs"
513,Fall 2013,Hawai`i Community College,"20-21 yrs"
39,Fall 2013,Windward Community College,"60+ yrs"
1145,Fall 2021,Kapi`olani Community College,"20-21 yrs"
255,Fall 2021,Windward Community College,"25-29 yrs"
224,Fall 2021,Hawai`i Community College,"25-29 yrs"
278,Fall 2021,Honolulu Community College,"35-44 yrs"
245,Fall 2021,University of Hawai`i Maui College,"35-44 yrs"
59,Fall 2021,Leeward Community College,"60+ yrs"
3321,Fall 2022,University of Hawai`i at Manoa,"22-24 yrs"
549,Fall 2022,University of Hawai`i at Hilo,"22-24 yrs"
563,Fall 2022,University of Hawai`i Maui College,"18-19 yrs"
1220,Fall 2022,University of Hawai`i at Manoa,"30-34 yrs"
182,Fall 2022,University of Hawai`i - West O`ahu,"45-59 yrs"
111,Fall 2022,Hawai`i Community College,"45-59 yrs"
109,Fall 2022,Honolulu Community College,"45-59 yrs"
369,Fall 2014,University of Hawai`i Maui College,"45-59 yrs"
38,Fall 2014,Windward Community College,"60+ yrs"
175,Fall 2014,University of Hawai`i - West O`ahu,"45-59 yrs"
291,Fall 2014,Kapi`olani Community College,"45-59 yrs"
255,Fall 2014,University of Hawai`i - West O`ahu,"35-44 yrs"
269,Fall 2014,University of Hawai`i at Hilo,"30-34 yrs"
1555,Fall 2015,University of Hawai`i at Manoa,"30-34 yrs"
535,Fall 2015,Leeward Community College,"30-34 yrs"
256,Fall 2015,Hawai`i Community College,"35-44 yrs"
363,Fall 2015,University of Hawai`i at Manoa,<18 yrs
514,Fall 2015,Windward Community College,"20-21 yrs"
26,Fall 2015,University of Hawai`i - West O`ahu,"60+ yrs"
28,Fall 2015,University of Hawai`i at Hilo,"60+ yrs"
28,Fall 2015,Honolulu Community College,"60+ yrs"
1742,Fall 2016,Leeward Community College,"18-19 yrs"
693,Fall 2016,Honolulu Community College,"18-19 yrs"
1613,Fall 2016,Kapi`olani Community College,"20-21 yrs"
194,Fall 2016,Windward Community College,"35-44 yrs"
253,Fall 2017,University of Hawai`i Maui College,"45-59 yrs"
1050,Fall 2017,Leeward Community College,"22-24 yrs"
32,Fall 2017,Kaua`i Community College,"60+ yrs"
458,Fall 2017,Hawai`i Community College,<18 yrs
655,Fall 2017,Leeward Community College,<18 yrs
84,Fall 2017,University of Hawai`i Maui College,"60+ yrs"
89,Fall 2017,Kaua`i Community College,"35-44 yrs"
358,Fall 2018,Honolulu Community College,"30-34 yrs"
280,Fall 2018,Hawai`i Community College,"25-29 yrs"
993,Fall 2018,Leeward Community College,"22-24 yrs"
530,Fall 2018,University of Hawai`i - West O`ahu,"20-21 yrs"
687,Fall 2018,University of Hawai`i at Hilo,"22-24 yrs"
121,Fall 2018,Kaua`i Community College,"25-29 yrs"
354,Fall 2018,Honolulu Community College,<18 yrs
32,Fall 2018,Kapi`olani Community College,"60+ yrs"
223,Fall 2019,Hawai`i Community College,"35-44 yrs"
221,Fall 2019,University of Hawai`i at Hilo,"35-44 yrs"
230,Fall 2019,University of Hawai`i - West O`ahu,"30-34 yrs"
451,Fall 2019,University of Hawai`i at Hilo,"25-29 yrs"
250,Fall 2019,Hawai`i Community College,"22-24 yrs"
475,Fall 2019,Honolulu Community College,"22-24 yrs"
972,Fall 2020,Kapi`olani Community College,"25-29 yrs"
4333,Fall 2020,University of Hawai`i at Manoa,"20-21 yrs"
4024,Fall 2020,University of Hawai`i at Manoa,"18-19 yrs"
469,Fall 2020,Honolulu Community College,"22-24 yrs"
607,Fall 2020,University of Hawai`i - West O`ahu,"22-24 yrs"
553,Fall 2020,Kapi`olani Community College,"30-34 yrs"
349,Fall 2020,Kaua`i Community College,<18 yrs
57,Fall 2020,Leeward Community College,"60+ yrs"
22,Fall 2024,University of Hawai`i at Hilo,"60+ yrs"
241,Fall 2024,University of Hawai`i - West O`ahu,"30-34 yrs"
2223,Fall 2024,University of Hawai`i at Manoa,"25-29 yrs"
651,Fall 2024,Leeward Community College,"25-29 yrs"
23,Fall 2023,Honolulu Community College,"60+ yrs"
236,Fall 2023,Honolulu Community College,"35-44 yrs"
103,Fall 2023,University of Hawai`i at Hilo,"45-59 yrs"
1362,Fall 2023,Kapi`olani Community College,"18-19 yrs"
341,Fall 2023,Kapi`olani Community College,<18 yrs
6,Fall 2018,Kaua`i Community College,No Data
2,Fall 2021,Hawai`i Community College,No Data
2,Fall 2022,Kapi`olani Community College,No Data
382,Fall 2010,Maui College,"30-34 yrs"
390,Fall 2010,Maui College,"45-59 yrs"
21,Fall 2010,Honolulu Community College,"60+ yrs"
891,Fall 2010,Honolulu Community College,"20-21 yrs"
218,Fall 2010,Honolulu Community College,<18 yrs
324,Fall 2011,Leeward Community College,"45-59 yrs"
1700,Fall 2011,Kapi`olani Community College,"22-24 yrs"
115,Fall 2011,Windward Community College,<18 yrs
